state,holidaytype,day_of_week,date,name
VIC,2023 public holidays,Sunday,1 January,New Year's Day
VIC,2023 public holidays,Monday,2 January,Additional public holiday for New Year's Day
VIC,2023 public holidays,Thursday,26 January,Australia Day
VIC,2023 public holidays,Monday,13 March,Labour Day
VIC,2023 public holidays,Friday,7 April,Good Friday
VIC,2023 public holidays,Saturday,8 April,Saturday before Easter Sunday
VIC,2023 public holidays,Sunday,9 April,Easter Sunday
VIC,2023 public holidays,Monday,10 April,Easter Monday
VIC,2023 public holidays,Tuesday,25 April,Anzac Day
VIC,2023 public holidays,Monday,12 June,King's Birthday
VIC,2023 public holidays,Friday,TBC,Friday before AFL Grand Final (subject to AFL schedule)
VIC,2023 public holidays,Tuesday,7 November,Melbourne Cup
VIC,2023 public holidays,Monday,25 December,Christmas Day
VIC,2023 public holidays,Tuesday,26 December,Boxing Day
