source,reference,reference_short,type,title,sub_title,text_contents
Maximum-weekly-hours,National Employment Standards,NES,Maximum weekly hours,What are the maximum weekly hours of work?,,"<p>An employer must not request or require an employee to work more than the following hours of work in a week, unless the additional hours are reasonable:</p>
        <ul>
            <li>for a full-time employee, 38 hours or</li>
            <li>for an employee other than a full-time employee, the lesser of:
                <ul>
                    <li>38 hours</li>
                    <li>the ordinary hours of work in a week.</li>
                </ul>
            </li>
        </ul>
        <br>
        <p>The hours an employee works in a week must be taken to include any hours of leave or absence (paid or unpaid) that is authorised:</p>
        <ul>
            <li>by the employer or</li>
            <li>by or under a term of the employment or</li>
            <li>by or under a Commonwealth, State or Territory law, or an instrument in force under such a law.</li>
        </ul>
        <br>
        <p>An employee may refuse to work additional hours if they are unreasonable.</p>"
Maximum-weekly-hours,National Employment Standards,NES,Maximum weekly hours,What factors determine whether additional hours are reasonable?,,"<p>In determining whether additional hours are reasonable or unreasonable, the following must be taken into account:</p>
        <ul>
            <li>any risk to employee health and safety</li>
            <li>for an employee other than a full-time employee, the lesser of:the employee<span>&#39;</span>s personal circumstances, including family responsibilities</li>
            <li>the needs of the workplace or enterprise</li>
            <li>whether the employee is entitled to receive overtime  payments, penalty rates or other compensation for (or a level of remuneration that reflects an expectation of ) working additional hours</li>
            <li>any notice given by the employer to work the additional hours</li>
            <li>any notice given by the employee of his or her intention to refuse to work the additional hours</li>
            <li>the usual patterns of work in the industry</li>
            <li>the nature of the employee<span>&#39;</span>s role and the employee<span>&#39;</span>s level of responsibility </li>
            <li>whether the additional hours are in accordance with averaging provisions included in an award or agreement that is applicable to the employee, or an averaging arrangement agreed to by an employer and an award/agreement-free employee</li>
            <li>any other relevant matter.</li>
        </ul>
        <br>"
Maximum-weekly-hours,National Employment Standards,NES,Maximum weekly hours,What averaging arrangements can apply to hours of work?,Averaging of hours of work under awards or agreements,"<p>An award or agreement may include provisions for the averaging of hours of work over a specified period that is greater than a week.</p>
        <p>The average weekly hours over the period must not exceed:</p>
        <ul>
            <li>for a full-time employee, 38 hours or</li>
            <li>for an employee<span>&#39;</span>s other than a full-time employee, the lesser of:
            <ul>
                <li>38 hours</li>
                <li>the employee<span>&#39;</span>s ordinary hours of work in a week.</li>
            </ul>
            </li>
        </ul>
        <br>
        <p>An award or agreement can provide for average weekly hours that are greater than the hours above if those additional hours are considered reasonable.</p>
        <p>In either case, hours worked in excess of the above average weekly hours will be treated as additional hours. The averaging provisions are relevant in determining whether the additional  hours are reasonable or not.</p>"
Maximum-weekly-hours,National Employment Standards,NES,Maximum weekly hours,What averaging arrangements can apply to hours of work?,Averaging of hours of work for award/ agreement free employees,"<p>Employers and award/agreement-free employees may agree in writing to an averaging arrangement to average their ordinary hours of work. However, the maximum averaging period is 26 weeks.</p>
        <p>Again, the average weekly hours over the period must not exceed:</p>
        <ul>
            <li>for a full-time employee, 38 hours or</li>
            <li>for an employee<span>&#39;</span>s other than a full-time employee, the lesser of:
            <ul>
                <li>38 hours</li>
                <li>the employee<span>&#39;</span>s ordinary hours of work in a week.</li>
            </ul>
            </li>
        </ul>
        <br>
        <p>Alternatively, the agreement can provide for average weekly hours that are greater than the hours above if those additional hours are considered reasonable.</p>
        <p>In either case, hours worked in excess of the above average weekly hours will be treated as additional hours. The averaging provisions are relevant in determining whether the additional hours are reasonable or not.</p>"
Maximum-weekly-hours,National Employment Standards,NES,Maximum weekly hours,What averaging arrangements can apply to hours of work?,Do I have to enter into an averaging arrangement?,"<p>There is no requirement for an employer and employee to enter into an averaging arrangement.</p>
        <p>Under the general workplace protections provisions of the  Fair Work Act 2009, it is unlawful for an employer to force (or try to force) an employee to make (or not make) an averaging  arrangement. Where identified, the Fair Work Ombudsman can initiate legal action against the employer.</p>
        <p>For more information on general protections, please see our Protections at work fact sheet.</p>"
A guide to starting a new job,Fair Work Act,FW Act,National Employment Standards,What are the National Employment Standards?,Maximum weekly hours,"<p>38 hours per week, plus reasonable additional hours</p>"
A guide to starting a new job,Fair Work Act,FW Act,National Employment Standards,What are the National Employment Standards?,Requests for flexible working arrangements,<p>certain employees can request a change in their working arrangements</p>
A guide to starting a new job,Fair Work Act,FW Act,National Employment Standards,What are the National Employment Standards?,Parental leave,"<p>up to 12 months unpaid leave per employee, as well as the right to request an additional 12 months leave</p>"
A guide to starting a new job,Fair Work Act,FW Act,National Employment Standards,What are the National Employment Standards?,Annual leave,"<p>4 weeks paid leave per year, plus an additional week for some shiftworkers</p>"
A guide to starting a new job,Fair Work Act,FW Act,National Employment Standards,What are the National Employment Standards?,Sick and carer’s leave (sometimes called personal/carer’s leave) and compassionate leave,"<p>10 days per year paid sick and carer<span>&#39;</span> s leave (pro-rata for part-time employees),</p><br> <p>2 days unpaid carer<span>&#39;</span>s leave as required and 2 days compassionate leave (unpaid for casuals) as required</p>"
